20
x1;1;2;3;4;5;6;7;8;9;10
x2;1;2;3;4;5;6;7;8;9;10
x3;1;2;3;4;5;6;7;8;9;10
x4;1;2;3;4;5;6;7;8;9;10
x5;1;2;3;4;5;6;7;8;9;10
x6;1;2;3;4;5;6;7;8;9;10
x7;1;2;3;4;5;6;7;8;9;10
x8;1;2;3;4;5;6;7;8;9;10
x9;1;2;3;4;5;6;7;8;9;10
x10;1;2;3;4;5;6;7;8;9;10
x11;1;2;3;4;5;6;7;8;9;10
x12;1;2;3;4;5;6;7;8;9;10
x13;1;2;3;4;5;6;7;8;9;10
x14;1;2;3;4;5;6;7;8;9;10
x15;1;2;3;4;5;6;7;8;9;10
x16;1;2;3;4;5;6;7;8;9;10
x17;1;2;3;4;5;6;7;8;9;10
x18;1;2;3;4;5;6;7;8;9;10
x19;1;2;3;4;5;6;7;8;9;10
x20;1;2;3;4;5;6;7;8;9;10
38
ext
x10;x15
20
6;1
9;5
7;3
1;5
6;8
2;4
4;10
3;2
9;1
8;10
10;10
2;6
4;1
8;5
10;6
1;7
2;2
4;4
2;3
5;1
ext
x13;x14
20
4;7
2;4
1;5
8;9
1;10
9;4
2;7
9;2
7;8
1;3
7;9
5;3
4;2
4;10
6;5
5;7
2;1
9;8
3;1
1;7
ext
x9;x11
20
3;3
7;1
7;3
4;9
8;5
4;4
3;4
3;2
10;6
1;9
7;4
10;4
9;3
8;9
2;7
5;2
2;2
8;2
2;5
5;9
ext
x15;x20
20
9;7
8;1
7;1
9;1
2;1
3;6
1;5
7;3
10;7
6;2
10;5
2;6
8;7
3;3
4;3
5;7
2;2
9;8
7;9
1;3
ext
x5;x11
20
4;2
8;6
10;4
7;5
2;5
9;6
4;3
9;4
1;2
5;4
2;2
9;10
6;1
7;10
8;1
5;5
4;7
3;9
10;7
9;3
ext
x4;x10
20
7;2
8;9
10;4
6;5
8;3
5;1
10;10
8;6
3;9
6;6
3;5
7;8
8;8
5;9
9;6
1;2
9;9
10;2
10;1
7;5
ext
x11;x20
20
9;4
10;10
1;7
9;10
4;7
7;4
4;10
3;7
1;2
7;6
6;5
3;8
9;5
4;9
1;3
6;4
7;1
4;3
5;7
6;1
ext
x5;x18
20
10;8
10;4
10;6
6;3
6;5
8;1
10;7
9;10
6;9
4;6
4;2
5;9
8;3
7;3
6;10
8;6
4;10
10;10
2;5
3;2
ext
x11;x18
20
2;7
10;2
4;6
9;4
6;1
3;1
1;8
9;10
6;8
1;5
4;3
5;6
9;7
10;6
3;2
2;5
4;1
7;8
6;3
5;4
ext
x1;x8
20
8;6
10;2
5;8
2;10
1;6
6;6
10;8
8;10
6;7
2;9
8;7
5;9
6;10
3;8
5;6
7;5
3;10
8;1
1;9
2;8
ext
x8;x10
20
1;2
8;2
10;9
10;4
1;5
2;7
3;9
2;3
3;5
8;4
9;4
8;5
7;9
8;7
5;2
2;5
2;2
8;10
10;3
8;8
ext
x5;x17
20
4;10
9;4
10;1
8;10
2;3
5;1
10;2
3;4
4;9
9;6
7;6
7;7
4;8
2;6
7;2
3;2
5;10
6;10
5;5
9;3
ext
x16;x20
20
5;5
7;2
10;4
4;10
3;1
10;1
6;3
5;8
7;7
4;9
9;3
4;8
4;3
6;5
2;1
5;4
4;2
6;4
1;5
7;5
ext
x1;x9
20
3;10
3;8
8;2
2;4
5;5
9;3
9;2
10;3
6;1
3;7
7;1
4;2
9;9
4;4
2;10
6;3
6;10
4;10
1;2
3;2
ext
x2;x6
20
2;2
4;2
2;5
7;9
1;8
8;3
3;10
8;4
2;3
4;4
7;10
4;1
7;6
2;4
4;5
10;9
1;1
3;1
10;4
4;10
ext
x4;x12
20
10;5
7;10
8;1
6;8
10;10
10;6
2;3
2;1
4;1
5;7
1;2
8;8
8;7
6;9
5;2
9;5
6;4
9;8
1;4
3;4
ext
x1;x5
20
10;1
6;8
1;9
4;8
3;8
3;1
4;9
1;5
2;2
2;5
8;4
4;7
7;7
2;7
1;6
9;7
10;5
5;8
4;2
4;10
ext
x9;x19
20
2;8
10;9
2;9
9;6
4;6
4;8
3;6
3;4
9;3
9;8
7;7
7;8
5;5
9;7
8;1
9;4
3;2
8;9
1;10
4;9
ext
x1;x7
20
3;5
4;3
3;6
2;4
8;10
1;5
5;9
6;9
7;4
4;10
4;1
8;8
3;9
1;2
5;2
2;10
3;2
5;5
6;6
4;7
ext
x5;x20
20
3;4
3;5
6;4
7;6
2;7
4;7
6;10
3;10
3;1
9;3
5;8
5;4
8;9
10;3
1;3
3;2
6;2
1;4
10;2
2;3
ext
x3;x17
20
1;9
10;7
10;2
1;4
8;9
5;8
5;10
8;1
7;6
7;3
8;7
3;3
3;8
10;4
5;9
8;2
9;10
2;3
4;2
1;1
ext
x16;x19
20
8;3
4;6
9;8
2;7
6;4
3;4
10;2
8;9
9;3
4;5
3;8
1;10
7;7
7;5
2;3
7;2
10;4
2;1
10;5
5;3
ext
x3;x18
20
9;1
1;8
7;2
10;1
1;9
3;3
5;10
9;5
10;10
2;10
10;4
1;2
4;7
8;8
3;9
6;7
3;2
6;2
2;8
2;2
ext
x4;x14
20
1;7
8;4
6;10
7;8
5;3
7;9
8;2
10;9
5;1
3;4
9;9
4;9
1;6
8;1
6;4
7;1
6;7
1;8
3;9
10;6
ext
x7;x16
20
4;1
5;7
4;2
3;9
7;9
5;9
4;4
6;10
10;10
6;1
1;4
10;1
1;1
2;2
7;4
8;8
3;6
6;6
8;5
10;7
ext
x1;x15
20
3;1
9;6
7;6
4;1
2;10
3;10
5;9
1;8
8;8
4;2
9;10
3;7
3;4
1;7
9;4
1;10
3;9
9;3
10;3
5;8
ext
x4;x11
20
10;7
8;5
5;8
2;9
5;1
4;8
6;10
4;5
1;8
6;1
3;6
2;5
9;5
7;2
7;5
9;4
3;3
5;4
8;9
9;1
ext
x5;x6
20
3;1
2;5
4;8
6;9
8;1
6;4
3;3
5;3
9;8
1;2
2;8
4;10
8;6
10;8
2;2
10;6
9;4
4;3
7;6
4;1
ext
x10;x16
20
3;10
8;10
10;6
7;2
3;5
2;1
10;5
7;3
10;3
9;8
5;3
4;6
5;5
3;9
7;5
5;8
4;1
6;5
3;4
9;5
ext
x7;x19
20
4;9
1;8
4;4
9;6
4;8
10;5
7;3
1;6
7;1
4;2
7;10
6;3
9;4
8;2
8;5
9;7
3;8
6;7
4;5
7;9
ext
x4;x18
20
6;3
7;8
6;5
10;8
6;6
9;10
6;10
4;8
2;10
2;8
1;4
4;4
3;1
3;6
7;1
3;7
10;9
7;6
6;2
4;3
ext
x14;x16
20
9;1
9;2
6;10
7;2
5;3
1;7
9;9
9;5
2;9
1;8
2;6
5;1
3;1
4;6
9;6
5;10
1;4
10;8
9;10
3;3
ext
x3;x12
20
1;4
2;7
10;9
3;3
1;7
10;4
1;1
5;8
4;4
3;2
5;9
9;2
3;9
2;2
10;2
10;6
2;1
7;4
9;4
8;6
ext
x11;x14
20
2;2
10;3
4;8
9;6
5;1
1;8
8;8
8;1
8;2
7;1
5;4
8;10
8;3
7;6
6;9
6;4
10;2
5;2
9;3
2;3
ext
x5;x16
20
8;1
6;2
3;8
4;7
7;3
5;4
1;10
1;6
10;9
5;5
10;1
4;3
7;1
7;2
2;3
9;7
2;6
9;6
9;1
9;9
ext
x9;x16
20
7;3
3;3
9;3
2;7
8;7
9;10
7;2
2;2
2;9
4;5
7;4
6;5
10;4
1;10
1;7
3;8
9;1
1;3
10;10
8;3
ext
x1;x12
20
4;3
8;2
2;5
8;9
8;5
10;4
2;4
1;8
2;10
2;9
5;1
9;10
6;3
7;4
3;4
3;5
4;9
7;9
1;6
10;2
ext
x17;x18
20
9;3
6;2
4;5
8;3
9;10
7;2
10;7
2;6
4;6
3;3
8;8
4;8
1;2
7;9
6;10
8;4
10;1
10;3
5;1
8;7
**************************************************
